c1,c2,c3,g,m,x,y
1,0,-0.7658609041374346,1,4,67587,4
1,0,0.7332776607338561,0,5,72637,4
2,1,-1.624757603919941,0,5,72190,8
2,1,-0.698779157490964,0,5,80746,7
1,0,0.07189559818061331,1,4,67850,5
2,1,0.7179637353571128,0,7,102985,8
1,0,0.43242404854929023,0,5,71135,4
2,1,-2.295434430235601,1,5,73268,8
2,1,1.0651635294890498,1,5,80353,6
3,1,-0.6313110520394741,0,5,80160,9
2,1,0.7436647285054377,1,6,81471,5
1,0,-1.488071293261199,1,3,53499,3
1,0,1.7143399832433839,1,5,71852,4
2,1,-0.5984419017455781,1,4,63896,7
2,1,1.1142511397968058,1,6,86376,6
1,0,1.2515045151068742,0,4,62864,4
2,1,0.5575659636933243,1,6,86668,7
2,1,-0.22860226193926067,0,5,78321,7
1,0,1.9539211029328831,1,4,60873,4
2,1,-0.5563488639605422,1,5,74426,5
1,0,0.38484014131841265,0,4,67967,4
1,0,1.0563840497960109,0,4,61352,3
2,1,-0.772180245214999,0,5,75876,8
3,1,-0.5387473679919728,0,6,90768,9
3,1,-0.23701087010513855,0,7,95237,9
0,0,1.7304142818158905,0,4,59356,1
2,1,-1.4541241207623095,1,5,75463,7
2,1,-0.9775395601149174,0,4,66465,5
1,0,0.485715008777775,1,4,66197,5
2,1,0.7433676887049493,1,5,79222,6
1,0,0.2410640470226214,1,4,66513,4
1,0,0.8033385471735017,1,3,51537,2
1,0,-0.8938980345215648,0,2,41267,3
0,0,1.2678925152103004,0,4,58804,2
1,0,0.17009492248061397,1,5,76457,4
2,1,-1.9432131303525089,1,4,64570,6
1,0,2.330531330170597,0,6,91487,5
3,1,-0.8798246598799038,1,7,94407,9
0,0,0.48311504262792937,1,3,54562,2
2,1,0.5452595985573458,0,5,77684,6
1,0,-0.09895645297351813,0,4,59861,5
3,1,-0.2666559070709795,1,8,106520,9
2,1,-0.739595136042588,1,6,87404,8
1,0,1.405730971331967,1,4,68894,4
1,0,-0.21391841392670152,1,4,58780,5
0,0,1.2331594851927061,1,4,60365,1
3,1,-2.110229021107955,0,7,93542,8
1,0,0.555742094074739,0,4,68040,5
2,1,-0.559285812226811,1,4,68090,6
3,1,-0.35141423337051286,0,6,92020,9
3,1,-1.239507543775175,0,5,74597,9
1,0,-1.147489157738867,1,2,44408,4
2,1,-1.2040979873222915,0,5,73055,6
2,1,0.1178025682864217,1,5,69768,6
2,1,0.12239806640510081,1,6,85875,7
2,1,-0.5411962204116983,1,5,72616,6
2,1,-0.7372018369194351,1,4,63431,5
1,0,0.09245900505402428,0,4,66348,4
0,0,0.13351142775929042,0,3,47685,2
3,1,-1.6278313223828427,0,7,100816,10
2,1,0.15149001516113578,1,5,71126,5
3,1,-3.0114414741588544,0,6,90856,9
1,0,1.1191090209761616,1,5,70356,4
1,0,1.679296420836992,0,4,59901,3
2,1,0.9333968956477042,0,5,79983,7
3,1,-2.6113571955099144,1,7,93134,10
1,0,0.6855300097133074,1,5,69224,3
1,0,1.0741752715946378,0,3,52658,4
2,1,-0.302829090462448,1,4,67526,6
3,1,-0.012453998674644542,1,6,87447,9
2,1,-0.9229326955685622,1,5,75037,6
3,1,-0.7273907292450531,1,6,81985,8
2,1,0.26871167384988287,1,6,87497,8
0,0,2.5557313518896527,1,3,50624,1
1,0,2.3005984600263276,0,4,60447,3
1,0,1.3190890078582282,1,5,70292,3
1,0,0.6260741601216404,0,5,72922,3
3,1,-2.350279956924828,0,5,77063,9
1,0,-0.09750598434383484,1,4,68736,5
1,0,1.52122191875551,0,4,63512,4
1,0,-0.44769310399774886,1,5,71496,5
1,0,0.29538834471509273,0,4,63257,4
2,1,-0.39053235969040945,1,5,78675,7
0,0,1.2632549473788055,1,3,45352,2
1,0,-1.1991474252494099,1,4,58774,4
1,0,1.5693074600101788,0,3,51975,3
1,0,1.1887299421269921,1,5,72590,4
2,1,-0.12856353055848205,0,5,79188,6
1,0,0.5328913605346081,1,5,71692,5
1,0,-0.8112439090014992,1,4,62036,5
2,1,-0.29951020957827057,1,6,87770,7
2,1,0.17596543929476574,0,6,88881,7
0,0,1.4101102302337982,1,3,54112,2
2,1,0.21964413750448156,0,6,82318,7
2,1,-0.9818744335968613,1,6,87157,7
2,1,-0.8132313449793647,0,4,65159,6
3,1,-1.97750574126382,0,5,71409,9
1,0,-0.2650700951318374,1,2,43151,3
2,1,-0.8774297017493686,0,6,85449,7
2,1,-0.5441165061277374,0,6,83473,7
2,1,-0.9170722754627172,1,4,68528,6
3,1,0.10014249556120147,0,6,88918,8
2,1,0.6255480246396098,0,4,68113,6
2,1,0.2675143216335454,1,6,89448,8
2,1,0.773112549957948,1,5,71156,7
2,1,-0.5537951073931473,0,6,82682,7
2,1,1.31454437395771,0,6,84285,6
1,0,0.6606854034636529,1,3,56591,3
2,1,-1.5184240875394421,1,5,75106,8
1,0,-0.03711177678741916,0,5,73838,5
2,1,0.7483540270119133,0,7,93504,8
2,1,-0.46425106208905464,1,7,94479,8
1,0,0.06110115261242254,1,4,61617,4
1,0,0.39493420640141724,1,4,58370,4
2,1,-0.10571077955440027,0,5,73595,6
2,1,-1.9983583235448497,1,5,76892,7
2,1,0.8421219249241898,0,5,73209,7
2,1,2.300667696078603,1,4,66909,5
1,0,0.752186358818631,0,2,44056,4
2,1,0.33672424730580486,1,5,70925,8
1,0,0.19986070277636703,0,3,50738,5
1,0,1.6554664504563144,1,4,60951,3
2,1,0.40627434317560684,1,5,71853,5
1,0,1.1469546361609688,0,4,59999,3
2,1,-0.6231812193307441,0,5,75202,6
3,1,-1.3662842259603378,0,6,88754,9
3,1,-0.5751701361709275,0,7,94738,10
1,0,-0.7439629902976147,1,3,55716,5
3,1,-0.7839263316439617,1,7,100783,10
3,1,-0.26118307678877084,0,6,86470,8
1,0,1.5760249211598163,1,3,54404,3
1,0,0.6555062761284621,1,4,66334,4
2,1,0.6631048966675441,1,4,67703,5
3,1,-1.1613258498407202,0,6,87119,9
0,0,1.0422344681102054,1,3,45172,1
3,1,-3.31721642709624,0,6,81545,9
2,1,-0.5776369173715251,1,6,85873,8
2,1,-0.5043242693448506,1,4,63659,6
2,1,-0.03134841798314725,1,4,67920,7
2,1,-0.3173864156890873,1,5,75778,7
3,1,0.022113595069388016,0,6,84679,9
3,1,-1.1434876434860735,0,6,88165,9
2,1,-1.399025534199482,0,5,75290,7
3,1,-0.33252947926792786,0,7,98881,8
2,1,-0.3861852598045078,1,5,76703,6
2,1,0.38703033767219835,1,5,69097,5
2,1,0.34793144779131735,1,7,98459,8
1,0,0.5633416689840711,1,4,60530,5
1,0,0.6137973537840143,1,4,65330,4
2,1,-1.5227715773169688,1,4,67932,7
3,1,0.30679582516496745,1,7,97155,9
1,0,1.5291886884096564,1,4,66323,5
2,1,-0.7154019643712249,1,5,71997,6
2,1,-0.7837657166875631,0,6,84132,8
2,1,-1.205230290052016,0,5,72867,7
2,1,-0.17042557931793223,1,5,75035,7
1,0,-0.36697323348108335,1,3,50104,4
2,1,1.3098879892860165,1,6,82573,6
2,1,-1.135578426281746,0,4,68651,6
2,1,-1.0465763797354575,1,5,79956,7
2,1,0.5079500790243825,0,5,79607,6
2,1,-0.17007746618953035,0,5,71211,6
2,1,0.6588677032129924,1,5,76774,6
2,1,0.449858217612732,0,6,82714,8
2,1,0.017886845715776922,0,6,90250,8
2,1,0.1390456664123571,0,5,74896,7
1,0,0.8951351845638704,1,5,70226,5
3,1,0.0769468635388671,0,6,86775,9
1,0,0.5323859700436561,1,3,53641,3
2,1,0.6254679592519755,1,5,76528,6
2,1,-1.0350529944985853,1,5,70179,6
1,0,0.266931005199817,0,4,63945,3
1,0,-1.6933769702157955,0,5,78178,5
2,1,-0.6595061822592686,1,4,58469,6
3,1,-1.151136496238307,1,7,97429,9
2,1,0.00664505959956157,1,4,66641,6
0,0,2.0113797163200045,1,3,48656,1
1,0,0.5800988253500007,1,5,74100,5
2,1,0.22045029778615427,0,5,73944,5
3,1,-1.3569460392094073,0,7,98197,10
2,1,0.3383784093788115,0,6,83150,8
2,1,-0.8395012269307659,1,5,76553,5
2,1,0.30403692034618524,0,5,79509,7
1,0,-0.45058801958354067,0,4,62187,4
1,0,-0.012326045898826764,0,4,63843,5
1,0,1.023173472975014,1,5,77256,4
1,0,8.926706791211395e-4,1,4,57684,4
1,0,1.7106795861612702,1,5,77546,4
2,1,-0.4820961981254396,0,5,75926,7
2,1,-1.525083028924715,0,5,74312,8
2,1,-0.2860814755504081,1,4,67653,6
2,1,0.032533415487668915,1,6,83372,6
1,0,0.31355435829192685,0,4,64233,4
2,1,-0.2870628349612928,0,5,71912,6
0,0,3.6867283144334277,0,5,69947,2
1,0,-0.48535708943047057,1,4,64644,5
1,0,1.868871620409828,0,5,73751,3
2,1,0.11585199570596869,0,5,78548,7
2,1,-0.8331741052413423,1,5,79570,6
2,1,0.4987121317708246,1,5,73905,6
3,1,-1.1967337396134987,1,6,88180,9
2,1,-1.4189785266999733,0,5,80564,8
1,0,0.6687303967050945,1,5,74325,5
1,0,1.1087839695588055,1,4,61545,4
2,1,-1.328489341106138,1,4,59763,6
2,1,-1.3357744918906722,1,5,71492,6
3,1,-1.195128896329555,0,7,96758,9
1,0,0.9509599312609367,1,4,66692,5
2,1,-0.1500968851221428,0,5,73424,6
2,1,-0.27664247242077,1,5,77721,7
1,0,1.8975431825805653,0,5,69243,3
2,1,1.5741114961279474,1,6,92516,6
2,1,1.2817427890397832,0,5,80820,6
0,0,1.0507196396808989,1,3,50421,2
2,1,0.25337410447845954,1,6,87648,6
2,1,-2.0276853579547716,1,4,62427,7
